filename	english	tajik	emoji	level
adult.png	Adult	Калонсол	👨	A1
airplane.png	Airplane	Ҳавопаймо	✈	A1
ambulance.png	Ambulance	Ёрии таъҷилӣ	🚑	A1
animal.png	Animal	Ҳайвон	🐾	A1
ankle.png	Ankle	Тағоҷ / банди пой	🦶	A2
announcement.png	Announcement	Эълон	📣	A2
app.png	App	Барнома / аппликатсия	📱	A2
apple.png	Apple	Себ	🍎	A1
arm.png	Arm	Бозу	💪	A1
aunt.png	Aunt	Хола / Амма	👩	A1
autumn.png	Autumn	Тирамоҳ	🍂	A1
baby.png	Baby	Кӯдак	👶	A1
backpack.png	Backpack	Ҷузвдони пушт	🎒	A1
bag.png	Bag	Халта / Ҷузвдон	🎒	A1
bakery.png	Bakery	Нонвойхона	🥖	A1
banana.png	Banana	Банан	🍌	A1
bandage.png	Bandage	Бандина	🩹	A1
bank.png	Bank	Бонк	🏦	A1
banknote.png	Banknote	Пули коғазӣ	💶	A2
basket.png	Basket	Сабад	🧺	A1
basketball.png	Basketball	Баскетбол	🏀	A2
bathroom.png	Bathroom	Ҳаммом	🚿	A1
battery.png	Battery	Батарея / аккумулятор	🔋	A2
beach.png	Beach	Соҳил	🏖️	A1
bear.png	Bear	Хирс	🐻	A1
beard.png	Beard	Риш	🧔	A2
bed.png	Bed	Бистар	🛏️	A1
bedroom.png	Bedroom	Ҳуҷраи хоб	🛏	A1
bee.png	Bee	Занбӯри асал	🐝	A2
belt.png	Belt	Камарбанд	🥋	A1
bicycle.png	Bicycle	Дучарха	🚲	A1
bin.png	Bin	Сатили ахлот	🗑️	A2
bird.png	Bird	Парранда	🐦	A1
blanket.png	Blanket	Кӯрпа	🛏️	A2
boarding_pass.png	Boarding pass	Чиптаи савоӣ	🎟️	A2
boat.png	Boat	Қаиқ	⛵	A1
boots.png	Boots	Мӯза	👢	A1
border.png	Border	Сарҳад	🛂	A2
bottle.png	Bottle	Шиша	🍾	A1
bowl.png	Bowl	Коса	🥣	A2
box.png	Box	Қуттӣ	🗃	A1
boxing.png	Boxing	Мушобозӣ / бокс	🥊	A2
boy.png	Boy	Писар	👦	A1
branch.png	Branch	Шоха	🌿	A2
bread.png	Bread	Нон	🍞	A1
breakfast.png	Breakfast	Наҳорӣ	🍳	A1
brother.png	Brother	Бародар	👦	A1
browser.png	Browser	Браузер	🧭	A2
bunch.png	Bunch	Даста	🍇	A2
bus.png	Bus	Автобус	🚌	A1
bus_stop.png	Bus Stop	Истгоҳи Автобус	🚏	A1
butter.png	Butter	Равғани маска	🧈	A1
butterfly.png	Butterfly	Шапалак	🦋	A2
cabbage.png	Cabbage	Карам	🥦	A1
cable.png	Cable	Сим / кабел	🔗	A2
cafe.png	Cafe	Қаҳвахона	☕	A1
call.png	Call	Занг задан	📞	A1
camel.png	Camel	Шутур	🐪	A1
campaign.png	Campaign	Маърака / кампания	📣	A2
candle.png	Candle	Шам	🕯️	A2
cap.png	Cap	Кепка	🧢	A1
car.png	Car	Мошин	🚗	A1
car_park.png	Car park	Таваққуфгоҳ	🅿️	A2
card.png	Card	Корт	💳	A1
cards.png	Cards	Қартаҳо	🃏	A2
carrot.png	Carrot	Сабзӣ	🥕	A1
carton.png	Carton	Қуттии картонӣ	📦	A2
cartoon.png	Cartoon	Мультфилм	📺	A2
cash.png	Cash	Пули нақд	💰	A1
castle.png	Castle	Қалъа	🏯	A2
cat.png	Cat	Гурба	🐱	A1
cave.png	Cave	Ғор	🕳️	A2
chair.png	Chair	Курсӣ	🪑	A1
channel.png	Channel	Шабака (ТВ)	📺	A2
charger.png	Charger	Заряддиҳанда	🔌	A2
checkup.png	Checkup	Муоинаи тиббӣ	🩺	A2
cheese.png	Cheese	Панир	🧀	A1
chef.png	Chef	Ошпаз (сарошпаз)	👨‍🍳	A2
chemist.png	Chemist	Дорухона / аптека	⚗️	A2
chess.png	Chess	Шоҳмот	♟️	A2
chest.png	Chest	Сина	🫁	A2
chicken.png	Chicken	Гӯшти мурғ	🍗	A1
child.png	Child	Кӯдак	👦	A1
chin.png	Chin	Манаҳ / занах	😐	A2
choir.png	Choir	Хор / сарояндагон	🎶	A2
cinema.png	Cinema	Кинотеатр	🎬	A1
classroom.png	Classroom	Синфхона	🏫	A1
cliff.png	Cliff	Кӯҳпора / ҷарӣ	🧗	A2
climbing.png	Climbing	Кӯҳнавардӣ	🧗	A2
clinic.png	Clinic	Дармонгоҳ	🏥	A1
closet.png	Closet	Ҷевон	🛒	A1
cloud.png	Cloud	Абр	☁️	A1
coat.png	Coat	Палто	🧥	A1
coffee.png	Coffee	Қаҳва	☕	A1
coin.png	Coin	Танга	🪙	A1
collecting.png	Collecting	Ҷамъоварӣ	🪙	A2
color.png	Color	Ранг	🎨	A1
computer.png	Computer	Компютер	🖥	A1
concert.png	Concert	Консерт	🎤	A2
cooking.png	Cooking	Пухтупаз	🍳	A2
corn.png	Corn	Ҷуворимакка	🌽	A1
corner.png	Corner	Гӯша / Кунҷ	📐	A1
couple.png	Couple	Ҷуфт / зану шавҳар	💑	A2
cousin.png	Cousin	Амакбача / Холабача	👦	A1
cow.png	Cow	Гов	🐄	A1
cream.png	Cream	Малҳам	🧴	A1
credit_card.png	Credit Card	Корти кредитӣ	💳	A1
crossing.png	Crossing	Гузаргоҳ	🚸	A2
cucumber.png	Cucumber	Бодиринг	🥒	A1
cycling.png	Cycling	Велосипедронӣ	🚴	A2
daughter.png	Daughter	Духтар	👧	A1
desert.png	Desert	Биёбон	🏜️	A2
desk.png	Desk	Мизи корӣ	🪑	A1
dessert.png	Dessert	Ширинӣ (баъди хӯрок)	🍨	A2
device.png	Device	Дастгоҳ	📲	A2
diary.png	Diary	Рӯзнома	📔	A2
dining_room.png	Dining Room	Ошхонаи хӯрокхӯрӣ	🍽	A1
dinner.png	Dinner	Хӯроки шом	🍲	A1
dish.png	Dish	Таом (хӯрок)	🍛	A2
doctor.png	Doctor	Духтур	👨‍⚕️	A1
dog.png	Dog	Саг	🐶	A1
dollar.png	Dollar	Доллар	💲	A1
donkey.png	Donkey	Хар	🫏	A1
door.png	Door	Дар	🚪	A1
dough.png	Dough	Хамир	🥟	A2
dozen.png	Dozen	Дувоздаҳто	🥚	A2
drawing.png	Drawing	Расмкашӣ	✏️	A2
dress.png	Dress	Куртаи занона	👗	A1
drops.png	Drops	Қатраҳо	💧	A1
drums.png	Drums	Барабанҳо	🥁	A2
duck.png	Duck	Мурғобӣ	🦆	A1
ear.png	Ear	Гӯш	👂	A1
earrings.png	Earrings	Гӯшвор	👂	A1
egg.png	Egg	Тухм	🥚	A1
elbow.png	Elbow	Оринҷ	💪	A2
elephant.png	Elephant	Фил	🐘	A1
england.png	England	Англия	🏴	A1
english.png	English	Англисӣ	💬	A1
entrance.png	Entrance	Даромадгоҳ	🚪	A1
evening_walk.png	Evening walk	Сайри шом	🚶	A2
examine.png	Examine	Муоина кардан	🔍	A1
exit.png	Exit	Баромадгоҳ	🚪	A1
eye.png	Eye	Чашм	👁️	A1
factory.png	Factory	Корхона / завод	🏭	A2
family.png	Family	Оила	👪	A1
farm.png	Farm	Хоҷагӣ (ферма)	🚜	A1
father.png	Father	Падар	👨	A1
feather.png	Feather	Пар	🪶	A2
field.png	Field	Дала / киштзор	🌾	A2
