filename	english	tajik	emoji	level
accident.png	Accident	Садама	💥	A1
accountant.png	Accountant	Муҳосиб	🧮	A2
ache.png	Ache	Дард (дарди муттасил)	😣	A2
achievement.png	Achievement	Дастовард	🏅	A2
adult.png	Adult	Калонсол	👨	A1
afternoon.png	Afternoon	Баъд Аз Зӯҳр	☀️	A1
air.png	Air	Ҳаво	🌬️	A1
airplane.png	Airplane	Ҳавопаймо	✈	A1
amateur.png	Amateur	Ҳаваскор	🎨	A2
ambition.png	Ambition	Орзу / ҳадафи бузург	🚀	A2
ambulance.png	Ambulance	Ёрии таъҷилӣ	🚑	A1
animal.png	Animal	Ҳайвон	🐾	A1
ankle.png	Ankle	Тағоҷ / банди пой	🦶	A2
announcement.png	Announcement	Эълон	📣	A2
app.png	App	Барнома / аппликатсия	📱	A2
apple.png	Apple	Себ	🍎	A1
architect.png	Architect	Меъмор	📐	A2
arm.png	Arm	Бозу	💪	A1
arrival.png	Arrival	Расидан (омадан)	🛬	A2
audience.png	Audience	Тамошобинон	👏	A2
aunt.png	Aunt	Хола / Амма	👩	A1
autumn.png	Autumn	Тирамоҳ	🍂	A1
baby.png	Baby	Кӯдак	👶	A1
backpack.png	Backpack	Ҷузвдони пушт	🎒	A1
bag.png	Bag	Халта / Ҷузвдон	🎒	A1
bakery.png	Bakery	Нонвойхона	🥖	A1
banana.png	Banana	Банан	🍌	A1
bandage.png	Bandage	Бандина	🩹	A1
bank.png	Bank	Бонк	🏦	A1
banknote.png	Banknote	Пули коғазӣ	💶	A2
bargain.png	Bargain	Чизи арзон / савдо	🤝	A2
basket.png	Basket	Сабад	🧺	A1
basketball.png	Basketball	Баскетбол	🏀	A2
bathroom.png	Bathroom	Ҳаммом	🚿	A1
battery.png	Battery	Батарея / аккумулятор	🔋	A2
beach.png	Beach	Соҳил	🏖️	A1
bear.png	Bear	Хирс	🐻	A1
beard.png	Beard	Риш	🧔	A2
bed.png	Bed	Бистар	🛏️	A1
bedroom.png	Bedroom	Ҳуҷраи хоб	🛏	A1
bee.png	Bee	Занбӯри асал	🐝	A2
belt.png	Belt	Камарбанд	🥋	A1
