filename	english	tajik	emoji	level
accident.png	Accident	Садама	💥	A1
accountant.png	Accountant	Муҳосиб	🧮	A2
ache.png	Ache	Дард (дарди муттасил)	😣	A2
achievement.png	Achievement	Дастовард	🏅	A2
afternoon.png	Afternoon	Баъд Аз Зӯҳр	☀️	A1
air.png	Air	Ҳаво	🌬️	A1
amateur.png	Amateur	Ҳаваскор	🎨	A2
ambition.png	Ambition	Орзу / ҳадафи бузург	🚀	A2
architect.png	Architect	Меъмор	📐	A2
arrival.png	Arrival	Расидан (омадан)	🛬	A2
audience.png	Audience	Тамошобинон	👏	A2
bargain.png	Bargain	Чизи арзон / савдо	🤝	A2
bill.png	Bill	Ҳисоб / чек (ресторан)	🧾	A2
birth.png	Birth	Таваллуд	👶	A2
boss.png	Boss	Сардор	👔	A2
brand.png	Brand	Тамға / бренд	®️	A2
breeze.png	Breeze	Насим / боди мулоим	🍃	A2
bruise.png	Bruise	Кабудшавӣ / лат	🟣	A2
cashier.png	Cashier	Хазинадор	👨‍💻	A1
charity.png	Charity	Хайрия	❤️	A2
cheque.png	Cheque	Чек (бонкӣ)	🏦	A2
childhood.png	Childhood	Кӯдакӣ	🧸	A2
citizen.png	Citizen	Шаҳрванд	🪪	A2
climate.png	Climate	Иқлим	🌡️	A2
coach.png	Coach	Мураббӣ	📣	A2
cold.png	Cold	Шамолхӯрӣ	🥶	A1
colleague.png	Colleague	Ҳамкор	💼	A2
comedy.png	Comedy	Мазҳака / комедия	😂	A2
community.png	Community	Ҷамоа / маҳалла	🏘️	A2
contact.png	Contact	Тамос / алоқа	📇	A2
cough.png	Cough	Сулфа	😷	A1
counter.png	Counter	Пештахта	🧑‍💼	A2
cramp.png	Cramp	Гирифтани мушак	😖	A2
crew.png	Crew	Экипаж / ходимон	👩‍✈️	A2
culture.png	Culture	Фарҳанг	🎭	A2
currency.png	Currency	Асъор / пул	💱	A2
custom.png	Custom	Урфу одат	🎏	A2
customer.png	Customer	Мизоҷ	🚶	A1
customs.png	Customs	Гумрук	🛃	A2
danger.png	Danger	Хатар	⚠️	A1
debt.png	Debt	Қарз	⛓️	A2
